City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,lihue,21.9789,-159.3672,22.77,69,20,9.77,US,1713773460
196,castillos,-34.1667,-53.8333,17.67,96,100,4.38,UY,1713773471
197,kristiansund,63.1115,7.732,6.36,45,0,2.06,NO,1713773481
198,hithadhoo,-0.6,73.0833,29.49,69,100,0.95,MV,1713773491
199,qaqortoq,60.7167,-46.0333,-1.09,84,98,1.87,GL,1713773503
200,bam,29.106,58.357,28.97,18,33,3.54,IR,1713773514
201,nantucket,41.2835,-70.0995,7.06,61,0,4.63,US,1713773524
202,cromer,52.9312,1.2989,9.35,86,100,1.34,GB,1713773535
203,pathein,16.7833,94.7333,35.77,42,5,6.69,MM,1713773545
204,falmouth,50.1544,-5.0711,11.56,90,40,1.03,GB,1713773555
205,phan thiet,10.9333,108.1,32.05,53,58,5.3,VN,1713773521
206,thinadhoo,0.5333,72.9333,29.64,70,100,2.09,MV,1713773087
207,dudinka,69.4058,86.1778,-13.51,88,99,0.89,RU,1713773586
208,mount isa,-20.7333,139.5,26.87,34,0,3.6,AU,1713773597
209,gewane,10.1664,40.6453,31.41,48,82,2.55,ET,1713773607
210,merizo village,13.2658,144.6691,29.31,83,27,7.02,GU,1713773618
211,lazaro cardenas,17.9583,-102.2,22.79,86,17,1.28,MX,1713773628
212,afaahiti,-17.75,-149.2833,24.93,84,84,5.89,PF,1713773638
213,crane,31.3974,-102.3501,11.16,65,100,4.09,US,1713773660
214,adrar,20.5022,-10.0711,23.3,20,8,5.68,MR,1713773670
215,kenai,60.5544,-151.2583,2.83,98,100,4.63,US,1713773680
216,iskateley,67.6803,53.1512,-9.43,90,97,1.79,RU,1713773691
217,port hedland,-20.3167,118.5667,30.03,37,0,6.17,AU,1713773413
218,akrehamn,59.2667,5.1833,7.45,49,0,1.54,NO,1713773711
219,novyy urgal,51.0736,132.5642,16.8,37,92,4.78,RU,1713773722
220,gwanda,-20.9333,29.0,26.38,26,0,2.77,ZW,1713773663
221,portland,45.5234,-122.6762,9.49,75,0,3.09,US,1713773674
222,bhimunipatnam,17.8833,83.4333,38.73,57,99,8.7,IN,1713773766
223,east london,-33.0153,27.9116,22.52,94,75,5.14,ZA,1713773710
224,colonia,50.9333,6.95,8.43,76,0,1.54,DE,1713773672
225,raja,8.4596,25.678,35.81,31,5,2.69,SS,1713773526
226,apodi,-5.6642,-37.7989,23.8,92,24,2.65,BR,1713773649
227,bom jardim,-7.7958,-35.5872,21.8,97,90,0.76,BR,1713773817
